Article Number,Dates,Fatality Range,Countries
238," nearly,  month,  last,  26,  last,  the,  school,  last,  last,  this,  the,  the,  school, ect,  a,  year,  days,  year,  2020-21,  year,  year,  year,  year,  past,  2020-21,  year, emic",[ 10 to one]," New,  City,  Oakland,  Calif,  Detroit,  Tor,  Conn,  Fulton,  Ga,  Tor,  Connecticut, ions,  York, 's, rington, .,,  County, .,, rington"
239," daily,  November,  daily,  57,  last,  2020,  February",[ 237 to  two]," Brook,  Mass,  East,  Cov,  Nigeria,  Brook, line, .,,  Brewster, id, s, line"
240," decades,  decades,  this,  up,  30,  decades,  last,  the,  three,  last,  the,  1953,  week,  to,  days,  1998,  year,  first,  days,  month,  past","[ 1 to ,634]"," Ireland,  DU,  Ireland,  Ireland,  Ireland,  Ireland,  the,  States,  Ireland, BLIN,  United"
241," circa,  over,  decade,  more,  a,  ago, th-Century,  1890,  a,  ago,  than,  century","[ 239 to 45,000]"," Pen,  Malaysia,  George,  Malaysia,  George,  Pen,  Pen, ourishes, ang,  Town, ALAYSIAN, INGGIT,  Town, ang Island, ang"
242," more,  two,  the,  century,  between,  and,  More,  a,  60,  ago,  a,  of,  than,  years,  16th,  1851,  1860,  than,  century,  years,  couple,  days",[ 1 to .5 million]," OR,  Algeria,  Or,  Algeria,  Morocco,  Tunisia,  Or,  France,  Or,  Or,  Algeria, AN, an, an, an, an"
243," 42,  42,  Sept,  45,  2001,  August,  1997,  2004,  years,  years, . 30",[ 241 to  500]," New,  Louisiana,  Louisiana,  Great,  Mass,  New,  New,  City,  Alabama,  New,  New,  Orleans,  Barrington,  Orleans,  York,  Orleans,  Orleans"
244," ages,  to,  last,  this,  9,  9,  12,  7,  12,  18,  year,  summer, oes, -year-old",[ 242 to  one]," California,  California,  New,  City,  New,  Chicago,  York,  York, x"
245," Armageddon,  six,  the,  age,  October,  October,  decades,  modern, ver,  1962,  1962",[ 243 to  two]," Ukraine,  Ukraine,  Russia,  Cuba,  Cuba,  Ukraine,  Cuba, eball"
246," Sunday,  two,  ago,  Saturday,  Sept.,  the,  after,  four,  later,  Sunday,  Sunday,  weeks,  25,  days,  days",[ 244 to  five],N/A
247," the,  of,  month,  year,  Oct, ,,  end,  this,  2022,  9,  2022, 22",[ 12 to 331]," San,  New,  N,  New,  N,  United,  New,  N, United, ions,  Francisco, id, ections,  York, .Y.,  York, .Y.,  States,  York, .Y.,  States, 3624"
248," 2016,  the,  of,  31,  2012,  26,  Aug., ,,  this,  that,  summer,  2016,  6,  2016,  week,  summer",[ 180 to  two]," Buffalo,  N,  Clarence,  N,  Buffalo, .Y., .Y"
249," centuries,  Wednesday,  annual,  recent,  1,  ago,  years, ,000 years","[ 100 to ,000]"," Rapa,  Rapa,  Chile, 'u, ua, a,  Nui, auta,  Nui, ui, ,200, ano, araku, nes"
250," this,  2021,  the,  year,  2019,  Eight,  ago,  the,  decade,  Today,  five,  ago,  2030,  20,  Last,  summer, .,  previous, emic,  months,  past,  years, emic, 23,  spring","[ 1 to ,006]"," New,  New,  New,  York,  York,  York, town"
251," the,  92, year, old,  15,  Oct,  early,  day, -, -, -day, oms, . 7,  2021",[ 249 to  half]," TE,  Colo,  Colorado,  Los,  Brooklyn,  Los, LLURIDE, .,  Angeles,  Angeles"
252," August,  a,  earlier,  2001,  2002,  decades,  year",[ 250 to  three]," the,  States,  the,  States,  U, S,  the,  States,  Russia,  Iran,  the,  States,  United,  United, ., .,  United,  United"
253," Two,  2017,  two,  2017,  two,  2018,  2021,  a,  2018,  Years,  years,  years,  year","[ 220 to ,000]"," Ohio,  Ohio,  Ohio,  Ohio,  Ohio,  Ohio"
254," late,  Today,  50,  above,  daily,  recent,  January,  and,  months",[ 252 to One]," U, S,  U, ., .S"
255," 8, old,  8, old,  Wednesday,  two,  Friday,  a,  Friday,  Monday,  8,  27,  36,  39,  Monday,  Monday, -month-, -month-,  days,  year,  months",[ 253 to  four]," California,  Merced,  W,  Calif,  Mer,  Mer,  San,  County, inton, ced, ced,  Francisco"
256," 4,  4,  e,  nearly,  years,  more,  three,  millennium,  4,  ago, ,800 Years, ,800 Years, ons,  5,000, es,  than,  decades, s, ,855 years",[ 254 to  one]," California,  California,  America,  B,  Calif,  the,  Empire,  California,  California,  Nevada,  Utah,  In,  Bishop,  The,  State, a, ISHOP, .,  Roman, cone, lecon, yo County,  Golden, a, selah"
257," Six,  summer,  centuries,  the,  six,  years,  past,  years",[ 255 to  three]," Egypt,  CA,  Washington,  D,  Egypt,  Cairo,  Egypt,  Cairo,  G,  Alexandria,  Egypt,  Egypt, IRO, ,, .C, iza"
258," more,  seven,  ago,  today, ovid,  than,  months, ovid",[ 256 to  Two]," Ukraine,  America,  Russia,  China,  Saudi,  India,  China,  Ukraine,  Sweden,  Hungary,  Italy,  Ukraine,  Britain,  Russia,  Beijing,  Moscow,  China,  Iran,  whose,  Republic,  Arabia,  Islamic"
259," August,  a,  ago,  April,  a,  years,  about,  half,  August,  a,  ago,  the,  eight,  of,  year,  This,  2021,  2021,  2020,  last,  this summer,  year,  few,  ago,  a,  day,  year,  first,  months,  this,  year,  summer",[ 100 to 54]," the,  States,  Nap,  Ill,  Aurora,  Ill,  the,  States,  New,  City,  Miami,  Athens,  Ga,  New,  City,  New,  Washington,  United, erville, .,  United,  York, ha, ,, .,,  York,  York"
260," Saturdays,  Sundays, This,  the,  week,  every,  2020,  Saturdays,  one,  Saturday,  Sundays,  65,  every,  daily,  111,  two,  2021,  every,  week,  next,  Sunday,  recent,  day, th annual, -decade,  day",[ 258 to  two]," New,  Guy,  Brooklyn,  York, ana,  Flatbush, ederation"
261," Christmas,  The,  year,  nine,  Years,  29,  following,  months,  before",[ 259 to  one]," South,  France,  Gren,  Carolina, oble"
262," This,  this,  several,  the,  recent,  school,  9, olds,  30,  fall,  fall,  decades,  1950s,  years,  days, emic, -year-,  years",[ 260 to  third]," R,  Va,  Richmond,  Virginia,  Richmond, ICHMOND, ."
263," Sept.,  Sept.,  1980,  Sept.,  70,  29,  30, s,  29, s",[ 261 to  500],N/A
264," 90,  1933,  this,  nearly,  years,  next,  a,  nine, -Year-Old, ried, ilded,  month,  90,  week,  mere,  months",[ 262 to  one]," New,  Italy, es,  York, ns, ns"
265," Last,  11,  last,  year, -year-old,  spring",[ 263 to  two]," Pasadena,  Calif,  Pasadena, id"
266,"Oct,  Days,  months,  this,  this,  three,  August,  last, 's,  September,  the,  before,  September,  Wednesday, . 2-8),  month,  month,  weeks,  week,  month",[ 263 to as]," Delaware,  Russia,  Saudi,  the,  States,  Russia,  Ukraine,  Russia,  Arabia,  United"
267," a,  short,  March,  August,  millennial,  a,  short,  few,  years, -,  few,  years",[ 265 to  500],N/A
268,N/A,[ 266 to 3]," New,  N, F,  York, .Y."
269," years,  the,  century,  1894,  about,  years,  four,  last,  18,  1860,  18,  19th,  seven,  ago, -year,  year, 53,  to, 94",[ 267 to  three]," Chelsea,  Manhattan, th, th"
270," Saturday,  Thursday,  3,  4,  Saturday,  46",[ 19 to -three]," N,  Thailand,  U, ai,  Uthai,  Nak,  Thailand,  Thailand, ors, yn, AKLANG, akee, th,  Sawan,  Sawan, lang, od, umtai, tai"
271," the,  entire,  1997,  two,  ago,  the,  four,  last,  whole,  season,  seasons,  past,  weeks,  season",[ 269 to  two]," PAR,  Paris,  New, IS, idou,  York, is"
272," Saturday,  the,  Saturday,  Monday,  2020,  weekend",[ 270 to  500]," Nicaragua,  Nicaragua,  Blue,  Nicaragua,  Nicaragua,  Nicaragua,  El,  Honduras,  El,  Julia,  Nicaragua,  Nicaragua,  Nicaragua,  Jamaica,  Prov, res, fields, idencia, res, ina,  Salvador,  Salvador, res, idencia, idencia, ota"
273," August,  recent,  Jan.,  2020,  the,  the,  decade,  the,  months,  6,  1780s,  first,  1820s",[ 271 to  two],N/A
274," last,  between,  and,  end,  August,  the,  month,  year,  a,  a,  months,  March,  year,  February,  the,  of,  same,  last,  decade,  few,  ago",[ 272 to  about]," Canada,  HAM,  Ontario,  Toronto,  Toronto,  Hamilton,  Ontario,  Canada,  Toronto,  Vancouver,  Hamilton,  Britain,  Canada,  Toronto,  Canada,  Toronto, en, ILTON"
275," Late,  year,  2016,  a,  and,  half,  the,  year,  the,  year,  the,  weeks,  last,  year,  a,  second,  third,  closing",[ 273 to  one]," Russia,  Palm,  Fla, es,  Beach, ."
276," Sunday,  Oct, ,,  Oct,  last,  Sept.,  last,  this,  August,  February,  48,  this,  this, ,, . 9,  2022, . 2,  Sunday,  11,  Sunday,  weekend,  hours,  weekend,  weekend",[ 26 to  two]," New,  City,  He,  Calif,  Sonoma,  Son,  Minnesota,  Iowa,  Nebraska,  Uruguay, ROPOLITAN,  York, aldsburg,  County, oma Valley, INE"
277,ect,"[ 1 to ,600]"," Michigan,  Massachusetts,  Michigan,  Michigan, ions"
278," the,  few,  September,  September,  September,  months,  March,  this,  Last,  the,  days,  This,  picture,  the,  day,  last,  years,  2019, id,  2020,  2021,  2021,  fall,  year,  first,  year,  day, ing,  third",[ 126 to teen]," Win,  Wash, throp, ascades"
279," 1955,  15,  old,  the,  1950,  the,  decades,  83,  the,  of,  1960,  ',  1957,  years,  late, s,  following,  turn,  the, s, 57",[ 277 to  three]," Philadelphia,  New,  Rome,  the,  Paris,  Rome, a,  York,  States, rondissement"
280," October,  a,  month,  35,  34,  2017,  several,  2020,  big,  months","[ 278 to ,000]"," Jersey,  Jersey,  N,  Jersey,  Harlem,  New,  City,  Jersey,  Bay,  Jersey,  Jersey,  Manhattan,  City,  City, .J,  City,  York, onne,  City, onne,  City,  City Heights, view, isk"
281," several,  Saturday,  41,  weeks",[ 1 to  two]," Utah,  Beaver,  Utah,  Colorado,  Utah,  Utah,  County, lèbre"
282," several,  three,  Saturday,  six,  that,  weeks,  years,  years,  day",[ 1 to bre]," Utah,  Beaver,  Utah,  Colorado,  Utah,  Utah,  County, è"
283," 64,  Sept,  64,  1990,  16,  1975,  1969,  1982,  1910,  1985,  1988, . 28, ul",[ 281 to  500], Manhattan
284," nearly,  years,  1973,  years,  more,  40,  78,  Earlier,  year,  this,  50,  than,  years,  this,  summer","[ 1 to ,000]"," Vietnam,  Marin,  California,  San, fflaw,  County,  Francisco, as"
285," Saturday,  the,  Saturday,  Monday,  2020,  Two,  later,  weekend,  years",[ 283 to  500]," Nicaragua,  Blue,  Nicaragua,  Nicaragua,  Nicaragua,  El,  Honduras,  El,  Julia,  Nicaragua,  Nicaragua,  Nicaragua,  Jamaica,  Prov, ngthens, res, fields, idencia, rés, ina,  Salvador,  Salvador, idencia, idencia, ota"
286," Saturday,  Thursday,  3,  4,  Saturday,  46",[ 19 to -three]," N,  Thailand,  U, ai,  Uthai,  Thailand,  Thailand, y, i, u, yn, AKLANG, akee, th,  Sawan,  Sawan, od, umtai, umtai, ong, amphong, nep"
287," the,  24,  the,  years,  that,  day,  27,  2016,  decades,  each,  five,  ago,  2019,  day, -year-old,  months,  tragic, s,  year,  years",[ 10 to  two]," New,  North,  Ohio,  Washington, atcong,  Jersey, field"
288," 1962,  to,  decades,  1976,  Saturday,  1962,  1976, days","[ 2,500 to  up]"," NEW,  New,  YORK,  York"
289," 4,  nearly,  years,  more,  three,  millennium,  4,  ago, ,800 Years,  5,000,  than,  decades, s, ,855 years",[ 287 to  infinity]," California,  B,  Calif,  the,  Empire,  California,  California,  Nevada,  Utah,  In,  Bishop,  The,  State, mya, ISHOP, .,  Roman, yo County,  Golden, a, uselah, cone"
290," Saturday,  2018,  Saturday",[ 15 to  two]," Crimea,  KY,  Ukraine,  Russia,  Ukraine,  Ukraine,  Russia,  Russia,  Crimea,  Ukraine,  Crimea,  Ukraine,  Russia, IV, as"
291," 500,  Weeks,  Exactly,  month,  Election,  November,  almost,  decades,  2006,  2010,  2014,  2018,  2022,  Nov,  recent,  The,  the,  a,  ago,  4,  Out, ultuous, terms,  one,  Day,  two, . 8,  years,  year,  spring,  month",[ 289 to  two]," Georgia,  Nevada,  Pennsylvania"
292," 2017,  two,  2018,  2021,  a,  2018,  last, ios,  years,  year,  year","[ 220 to ,000]"," Ohio,  Ohio,  Ohio,  Ohio,  Ohio,  Ohio,  Ohio"
293," last,  five, month,  recent,  recent,  most,  the,  year,  March,  November,  month, -,  weeks,  weeks,  of,  past,  2020",[ 291 to .2 million]," U,  NA,  Kenya,  Ethiopia,  U,  Tig,  Dj,  Tig,  Ukraine,  Tig,  Ethiopia,  Erit,  Switzerland,  the,  States,  Ethiopia,  Dj,  Se, .S., IROBI, .S., ray, ibouti, ray, ray, as, rea,  United, ibouti, ychelles"
294," Saturday,  late,  the,  Saturday,  Sunday,  2020,  Two,  later,  Saturday,  weekend,  years",[ 292 to  500]," Nicaragua,  Blue,  Nicaragua,  Nicaragua,  Nicaragua,  El,  Honduras,  El,  Julia,  Nicaragua,  Nicaragua,  Jamaica,  Prov, ng, res, fields, idencia, rés, ina,  Salvador,  Salvador, és, idencia, idencia, ota"
295," 2020,  Last,  late,  month,  this, ache,  month,  last,  year",[ 293 to  two]," Texas,  Georgia,  AT,  Georgia,  New,  Colorado,  New,  Atlanta,  Texas,  Fulton,  Georgia,  Atlanta,  Georgia,  Texas,  Atlanta,  Atlanta,  Texas,  Georgia,  Texas,  Georgia,  Texas,  Atlanta,  Texas,  South,  Atlanta, LANTA,  Mexico,  York,  County,  Carolina"
296," last,  between,  and,  end,  August,  the,  month,  year,  a,  a,  months,  March,  Last,  year,  February,  the,  of,  same,  last,  decade,  few,  ago,  month",[ 16 to 000]," Canada,  HAM,  Ontario,  Toronto,  Toronto,  Hamilton,  Ontario,  Toronto,  Vancouver,  Hamilton,  Britain,  Canada,  Toronto,  Canada,  Toronto,  Ukraine, en, ILTON, as"
297," Saturday,  2018,  Saturday,  Sept.,  30",[ 295 to  two]," Crimea,  Russia,  KY,  Ukraine,  Russia,  Ukraine,  Russia,  Russia,  Crimea,  Ukraine,  Russia,  K,  Z,  Russia,  Crimea, IV, ias, as, herson, aporizhzhia"
298," last,  1991,  February,  January,  2020,  Today,  last,  January,  last,  month,  month,  month","[ 2 to ,000]"," Russia,  Ukraine,  Moscow,  China,  Kyr,  the,  Union,  Kyr,  Taj,  Russia,  Ukraine,  Kyr,  B,  Kyr,  Ukraine,  Russia,  Pax,  Kazakhstan,  Moscow,  Armenia,  Azerbaijan,  Armenia,  Moscow,  Azerbaijan,  Armenia,  Ukraine,  China,  Russia,  Kyr,  Taj, ias, ium, ps, gyzstan,  Soviet, gyzstan, ikistan, gyzstan, ishkek, gyz,  Russica, cows, gyzstan, ikistan"
299," Saturday,  about,  days,  Saturday,  early,  10,  March",[ 297 to  500]," Ukraine,  KY,  Ukraine,  Zapor,  Z, izhzhia, ia, IV, izhzhia, es, ias, remlins, aporizhzhia"
300," weeks,  two,  ago,  next,  decades,  year",[ 10 to -thirds],ions
301," a,  Friday","[ 299 to ,000]",verse
302," Late,  year,  2016,  a,  and,  half,  the,  year,  the,  year,  the,  weeks,  last,  last,  year,  a,  second,  third,  closing,  year",[ 300 to  two]," Russia,  Palm,  Florida,  Beach"
303," Six,  summer,  centuries,  the,  six,  coming,  February,  years,  past,  years,  years",[ 301 to  three]," Egypt,  Washington,  D,  Egypt,  Cairo,  Egypt,  Cairo,  G,  Alexandria,  Egypt,  Egypt,  U,  Egypt,  Egypt,  Russia,  Ukraine, s, IRO, ,, .C, as, iza, .S."
304," February,  February,  February,  1964,  five,  2018,  Feb,  Feb.,  2016,  2004,  2017,  2016,  years, . 4,  23",[ 302 to Three]," Chicago,  New,  York"
305," 2016,  Friday,  2012,  2016,  last,  2012,  2014,  20,  2011,  2020,  year,  years",[ 147 to .5 million]," New,  State,  Manhattan,  Manhattan,  Manhattan, les, ie,  York"
306," a,  season,  2017,  Friday,  all,  Less,  two,  ago,  this,  Jan, ,, ,,  last,  Opening,  the, 's,  six,  nearly,  months,  Opening,  this,  this,  24,  seasons,  rebuilding,  season,  than,  years,  day, . 7,  2021,  year,  Day,  season,  first,  weeks,  two,  Day,  year,  year",[ 2 to z]," CLE,  Cleveland,  Cleveland,  Cleveland, énez, nez, VELAND,  Bay"
307," 2011,  2009,  two,  later,  10,  Thursday,  Monday,  2009,  years, -year-old",[ 305 to 75]," Georgia,  AT,  Georgia,  Georgia,  New,  Atlanta, LANTA,  York"
308," Friday,  mid,  Friday,  the,  September,  August,  early,  Friday,  Monday,  Tuesday,  the,  three,  weeks,  Friday, -September,  day,  Friday,  week,  straight, -up","[ 263 to ,000]",N/A
309," the,  decade,  more,  September,  Sept.,  Monday,  years,  past,  or,  23",[ 307 to  two]," L,  Britain,  Britain,  Britain,  Britain, ONDON"
310," the,  Soviet,  a,  days,  July,  2022,  Friday,  60,  the,  1980,  decades,  the,  Soviet,  1991,  1994,  28,  late,  period,  few,  2021,  late, s,  late,  period,  years",[ 308 to  500]," Belarus,  M,  Belarus,  the,  Union,  Moscow,  Belarus,  the,  Union,  Belarus, SAW, insk,  Soviet, ajshyja,  Soviet"
311," Just,  months,  Today,  August,  a,  earlier,  Wednesday,  this,  Wednesday,  12,  ago,  year,  winter",[ 309 to -sixth]," China,  Russia,  China,  Beijing,  China,  China,  China,  China,  Ukraine,  China,  U.S,  Russia,  Ukraine,  Russia,  the,  Union,  China,  Russia,  Moscow,  China,  Russia,  Russia,  China,  Russia,  China,  Russia,  Saudi,  China, .-,  European,  Arabia"
312," Friday,  August,  2022,  March,  February",[ 13 to  one],N/A
313," Thursday,  Friday,  this,  today,  Friday,  later,  month,  Oct.,  21,  week,  this,  20",[ 311 to  500]," Germany,  P,  Russia,  Prague,  E,  Russia,  E,  Brussels,  Germany,  E, RAGUE, .U., .U.'s, .U"
314," Friday,  about,  week,  Thursday,  Friday,  Dec,  2017,  20,  last,  2019,  years,  Friday,  winter,  a, . 1, 40,  year",[ 100 to 76]," Modest,  Calif,  Sacramento,  E,  Russia,  Ukraine, o, .,, .U."
315," Saturday,  Oct, ,,  Wednesday,  Oct,  Sept,  Friday,  this,  August,  February,  48,  this,  this,  Wednesday, ,, . 8,  2022, . 2, . 15,  weekend,  hours,  weekend,  weekend",[ 26 to  two]," Ireland,  Ireland,  New,  City,  Baltimore,  Minnesota,  Iowa,  Nebraska,  Uruguay, ROPOLITAN,  York, AR"
316," Thursday,  Friday,  a,  Friday,  Friday,  Friday,  Friday,  a,  earlier, th,  day,  day",[ 10 to  two]," Russia,  KY,  Ukraine,  Russia,  Ukraine,  Ukraine,  Moscow,  Russia,  Belarus,  Ukraine,  Russia,  Ukraine,  Nik,  Z,  My,  Ukraine,  K,  Ber,  Zapor,  Z, reat, IV, opol, nipro, aporizhzhia, kolaiv, herson, islav, izhzhia, aporizhzhia, ipro"
317," Thursday,  29, old,  52,  Friday,  Thursday,  eight,  pregnant,  June,  Friday,  31,  4,  month, -year-,  months,  next",[ 24 to  six]," Thailand,  N,  Thailand,  Thailand,  Thailand,  the,  States,  Thailand,  Nong,  Lamp, les, u, tita, uished, AKLANG, kul, adhin, ul,  United,  Bua, hu, im, ana, sa, upha"
318," Friday,  six,  next,  up,  22,  this,  six, week,  18,  last,  Friday,  158, old,  this,  15,  Friday,  weeks,  week,  to,  weeks,  summer, -, 64,  month, -year-,  year,  weeks",[ 316 to  two]," Ohio,  Arizona,  Ohio,  Arizona,  Ohio,  Arizona,  Ohio,  Ohio,  Ohio,  Ohio,  Arizona,  Arizona,  Arizona, Arizona"
319," Past,  Years,  years,  2022,  Friday,  years,  2007,  2014,  this,  today,  my,  years,  this,  2013,  2014,  15,  year,  20,  year",[ 317 to  several]," Ky,  KY,  Ukraine,  Russia,  Ukraine,  Ukraine,  Ukraine,  Ukraine,  Ukraine,  Russia,  Warsaw,  Ky,  Ky,  Ukraine, iv, ia, shyn, ksandra, IV, iv, ., iv"
320," May,  Friday,  May,  Friday,  nine,  Friday,  10,  the,  Friday,  Monday, ests,  24,  24,  nights,  day",[ 19 to  two]," U,  HOU,  U,  Texas, valde, STON, valde"
321," Friday,  every,  Thursday,  year",[ 319 to  two]," U, S,  the,  States,  the,  Union,  America,  U.S,  the,  States,  the,  Union,  Washington,  Brussels,  America,  the,  States,  Washington,  Brussels,  the,  States, ., .,  United,  European, .,  United,  European,  United,  United"
322," ',  2011,  35,  centuries,  2014,  2017,  Friday,  late, 90s,  September",[ 320 to  320]," Toronto,  U., S."
323," the,  recent,  Friday,  more,  two,  June,  this,  of,  June,  the,  98,  Thursday,  summer,  weeks,  than,  weeks,  time,  year,  summer,  days",[ 3 to .891]," California,  Washington,  the,  States,  California,  Ohio,  California,  Nevada,  Arizona,  Russia,  Ukraine,  Saudi,  United,  Arabia"
324," Oct,  the,  recent,  20,  ago,  the,  two,  this,  today, one, . 5,  1950s,  years,  years,  last,  years,  year",[ 1 to .4 trillion]," Florida,  Florida,  Florida,  Florida,  Flag,  Fla,  United, ler Beach, .,  States"
325," Friday,  this,  Thursday,  Thursday,  Sunday,  my,  years,  32,  June,  week,  12",[ 323 to  two]," Japan,  Japan, es, ."
326," December,  more,  two,  Friday,  nearly,  years,  2020,  than,  centuries-old,  two,  ago",[ 324 to  two]," W,  China, ASHINGTON"
327," Thursday,  the,  week,  Thursday,  a,  Friday,  Thursday,  38,  this,  the,  period,  2021,  2019,  a,  Sept,  2021,  Thursday,  Friday,  every,  day,  past,  week, -year-old,  year,  same,  in,  week, . 30,  single",[ 325 to  three]," New,  City,  Manhattan,  Bronx,  Bronx,  York, th, as"
328," last,  2020,  10,  later,  2018,  2009,  2013,  2020,  this,  year,  months,  year","[ 27,000 to  nearly]"," New,  SC,  N,  New,  New,  New,  Jersey, OTCH PLAINS, .J.,  Jersey,  Jersey,  Jersey"
329," 2050,  years,  almost,  decade,  Friday,  2050,  2019,  the,  decade,  2015,  a,  previous",[ 327 to  zero],N/A
330," four,  ago,  years",[ 328 to  quarter],N/A
331," Friday,  earlier,  week,  Tuesday,  Friday,  years,  November,  last,  Nov,  June,  this,  month, . 8,  2021",[ 329 to  two],N/A
332," Oct,  last,  year,  Oct, ,,  Oct, ,,  2022, 10, 10, . 6,  month, 120, 13910,  2022,  8,  2022, 226, 552,  8,  2022, -, -",[ 23 to 28],"S,  Russia,  the,  States,  Saudi,  Russia,  Algeria,  Azerbaijan,  Libya,  Kazakhstan,  Malaysia,  Mexico,  Nigeria,  Sudan,  South,  Venezuela,  the,  States,  Russia,  U, S,  Russia,  Russia,  Ukraine,  South,  N,  Vol,  Russia,  Ukraine,  Russia,  United, US,  Ukraine,  New,  Times,  New,  N,  New,  N,  United,  New,  N, United,  New,  Times, is, uke,  United,  Arabia,  Sudan,  United, ., .,  Jamesport, .Y., gograd,  States, EC,  York, ,,  York, .Y.,  York, .Y.,  States,  York, .Y.,  States, 3624331,  York"
333," 60,  ago,  month,  weeks,  Friday,  Friday,  earlier,  week,  this,  years,  this,  this,  era",[ 331 to  tens]," Ukraine,  New,  Turkey,  France,  Prague,  York"
334," two,  ago,  four,  later,  days,  four, ut,  weeks,  days,  later,  years",[ 332 to  two],iny
335," months,  three,  ago,  earlier,  year,  months,  58, year, old,  June,  recent,  Four,  ago,  weeks,  this, -, -,  weeks,  days",[ 333 to  half]," ST,  Ukraine,  Kh,  Russia,  Iz,  Iz,  Ly,  Donetsk,  Ukraine,  Iz,  Iz, ories, AVKY, arkiv Province, ium, ium, man,  Province, ium, ium"
336," Friday,  the,  annual,  last,  its,  month,  present, day,  2009,  Last,  past,  year,  eighth, -,  year",[ 334 to  three]," Belarus,  Russia,  Ukraine,  Ukraine,  Russia,  Ukraine,  Belarus,  Russia,  Belarus,  Russia,  Russia,  the,  Union,  Che,  Soviet, chnya"
337," Thursday,  2020,  15,  March,  2020",[ 335 to  500],ure
338," next,  more,  60,  later,  1959,  Thursday,  the,  next,  About,  year,  the,  2020,  The,  couple,  years,  2020,  year,  than,  years,  decades,  summer, av,  a,  1980s,  last,  of",[ 336 to  two]," New,  Chicago,  Williams,  Brooklyn,  Chicago,  New,  Chicago,  New,  City,  Toronto,  Hollywood,  Detroit,  Las,  Williams,  Brooklyn, New,  New,  Chicago,  Hollywood,  New,  Manhattan,  New,  York, burg,  York,  York,  Vegas, burg,  York,  York,  York,  York"
339," Three,  2018,  last,  years,  1969,  Thursday,  the,  several,  nearly,  years,  July,  last,  the,  years,  year,  past,  months,  13,  of,  year,  years","[ 337 to ,000]"," California,  SANTA,  Calif,  Santa,  Calif,  ANA, .,  Ana"
340," this,  2022,  this,  this,  Thursday,  this,  2009,  this,  a,  year,  2001,  1981,  1961,  1927,  Tuesday,  90,  Thursday,  this,  week, 87,  week,  week,  week,  year,  single, ., ., ., ., .,  week",[ 1 to .]," Alabama,  Cambodia,  Indonesia,  Thailand,  The,  Vietnam,  Georgia,  Hawaii,  Missouri,  Pennsylvania,  Texas,  Saudi,  Russia,  Philippines,  Arabia"
341," Weeks,  the,  Only,  few,  a,  just,  season,  the,  season,  Sept,  45,  season, .,  a,  months,  year,  weeks,  2022-23, . 22",[ 339 to  two]," Portland,  Ore, ., ., .,"
342," Friday,  Thursday,  2019,  Friday,  the,  fiscal,  Friday,  April,  Sunday,  mid,  2015,  current,  year, -April","[ 100 to ly 17,000]"," New,  City, New,  City,  New,  Venezuela,  Texas,  York,  York,  York"
343," 21st,  Friday,  the,  20, -century,  day, -month",[ 341 to  500]," W,  the,  States,  U, S,  the,  States,  Iraq,  Syria,  U, S, ASHINGTON, .,  United, ., .,  United, ., ."
344," Oct,  the,  recent,  20,  ago,  the,  two,  this,  today, one, . 5,  1950s,  years,  years,  last,  years,  year",[ 1 to .4 trillion]," Florida,  Florida,  Florida,  Florida,  Flag,  Fla,  United, s, ler Beach, .,  States"
345," a,  August,  ',  March,  Friday,  Saturday,  nine,  2019,  decade, 17,  seasons",[ 1 to three]," ST,  Philadelphia, . LOUIS"
346," 29,  2015,  decades,  old",[ 1 to thirds]," TO,  Japan,  Tokyo,  Tokyo,  Tokyo,  Tokyo,  Har,  Nak,  Sh, KYO, tus, ajuku, ameguro, ibuya"
347," 72,  the,  the,  Thursday,  72,  the,  1988,  the,  that,  1995,  1996,  the,  1985,  1935,  1987,  Two,  later,  1980s,  1980s,  1980s,  year,  year,  mid-1980s,  years",[ 345 to  Two]," Los,  Chicago,  Chicago,  Angeles"
348," 1935,  57,  96,  85, old,  several,  last,  1935,  this,  at,  60,  old,  80,  their,  70, -year-old, -year-old, -year-,  days,  week,  week,  least,  years, s,  90s, s",[ 119 to een]," Florida,  Saras,  Charlotte,  Fort,  Beach,  Florida,  Florida,  North,  Florida,  Charlotte,  Lee,  Lee,  Fort,  Beach, ota,  County,  Myers,  Carolina,  County,  Myers, terback"
349," 1985,  the,  of,  the,  three,  1985,  off,  that,  29,  61, year,  summer,  1985,  next,  days, -day,  day, -, -old",[ 15 to 294]," New,  One,  N,  New,  Cooper,  York, onta, .Y,  York, stown, a"
350," this,  summer",[ 348 to  One]," N,  the,  States, .Y.U.,  United, Y.U."
351," this,  last,  the,  weeks,  Election,  the,  2020,  May,  the, s, ure,  week, bs,  year,  final,  Day,  summer,  spring",[ 100 to  About]," Pennsylvania,  M,  Pa,  West,  Pennsylvania,  Pittsburgh,  Westmore, arrow, URRYSVILLE, ., moreland County, moreland, land County"
352," 15,  15,  15,  their,  recent,  30,  2019,  1990,  15,  24,  27,  the,  30,  20,  35,  39,  Weeks,  30s,  weeks,  weeks,  30s,  decades,  weeks,  past,  years, s,  to",[ 27 to  500]," South,  the,  States,  the,  States,  Carolina,  United,  United"
353," days,  weeks,  many,  45,  2015,  2018,  This,  2015,  days,  through,  year",[ 100 to a]," D,  Panama,  the,  States,  the,  States,  Venezuela,  U, S,  the,  States,  Venezuela,  Ukraine,  Colombia,  Ecuador,  the,  States,  Venezuela, ARIÉN GAP,  United,  United, ., .,  United,  United"
